dataset x y
d 55.3846 97.1795
d 51.5385 96.0256
d 46.1538 94.4872
d 42.8205 91.4103
d 40.7692 88.3333
d 38.7179 84.8718
d 35.641 79.8718
d 33.0769 77.5641
d 28.9744 74.4872
d 26.1538 71.4103
d 23.0769 66.4103
d 22.3077 61.7949
d 22.3077 57.1795
d 23.3333 52.9487
d 25.8974 51.0256
d 29.4872 51.0256
d 32.8205 51.0256
d 35.3846 51.4103
d 40.2564 51.4103
d 44.1026 52.9487
d 46.6667 54.1026
d 50 55.2564
d 53.0769 55.641
d 56.6667 56.0256
d 59.2308 57.9487
d 61.2821 62.1795
d 61.5385 66.4103
d 61.7949 69.1026
d 57.4359 55.2564
d 54.8718 49.8718
d 52.5641 46.0256
d 48.2051 38.3333
d 49.4872 42.1795
d 51.0256 44.1026
d 45.3846 36.4103
d 42.8205 32.5641
d 38.7179 31.4103
d 35.1282 30.2564
d 32.5641 32.1795
d 30 36.7949
d 33.5897 41.4103
d 36.6667 45.641
d 38.2051 49.1026
d 29.7436 36.0256
d 29.7436 32.1795
d 30 29.1026
d 32.0513 26.7949
d 35.8974 25.2564
d 41.0256 25.2564
d 44.1026 25.641
d 47.1795 28.718
d 49.4872 31.4103
d 51.5385 34.8718
d 53.5897 37.5641
d 55.1282 40.641
d 56.6667 42.1795
d 59.2308 44.4872
d 62.3077 46.0256
d 64.8718 46.7949
d 67.9487 47.9487
d 70.5128 53.718
d 71.5385 60.641
d 71.5385 64.4872
d 69.4872 69.4872
d 46.9231 79.8718
d 48.2051 84.1026
d 50 85.2564
d 53.0769 85.2564
d 55.3846 86.0256
d 56.6667 86.0256
d 56.1538 82.9487
d 53.8462 80.641
d 51.2821 78.718
d 50 78.718
d 47.9487 77.5641
d 29.7436 59.8718
d 29.7436 62.1795
d 31.2821 62.5641
d 57.9487 99.4872
d 61.7949 99.1026
d 64.8718 97.5641
d 68.4615 94.1026
d 70.7692 91.0256
d 72.0513 86.4103
d 73.8462 83.3333
d 75.1282 79.1026
d 76.6667 75.2564
d 77.6923 71.4103
d 79.7436 66.7949
d 81.7949 60.2564
d 83.3333 55.2564
d 85.1282 51.4103
d 86.4103 47.5641
d 87.9487 46.0256
d 89.4872 42.5641
d 93.3333 39.8718
d 95.3846 36.7949
d 98.2051 33.718
d 56.6667 40.641
d 59.2308 38.3333
d 60.7692 33.718
d 63.0769 29.1026
d 64.1026 25.2564
d 64.359 24.1026
d 74.359 22.9487
d 71.2821 22.9487
d 67.9487 22.1795
d 65.8974 20.2564
d 63.0769 19.1026
d 61.2821 19.1026
d 58.7179 18.3333
d 55.1282 18.3333
d 52.3077 18.3333
d 49.7436 17.5641
d 47.4359 16.0256
d 44.8718 13.718
d 48.7179 14.8718
d 51.2821 14.8718
d 54.1026 14.8718
d 56.1538 14.1026
d 52.0513 12.5641
d 48.7179 11.0256
d 47.1795 9.8718
d 46.1538 6.0256
d 50.5128 9.4872
d 53.8462 10.2564
d 57.4359 10.2564
d 60 10.641
d 64.1026 10.641
d 66.9231 10.641
d 71.2821 10.641
d 74.359 10.641
d 78.2051 10.641
d 67.9487 8.718
d 68.4615 5.2564
d 68.2051 2.9487
d 37.6923 25.7692
d 39.4872 25.3846
d 91.2821 41.5385
d 50 95.7692
d 47.9487 95
d 44.1026 92.6923
a 32.3311102266 61.411101248
a 53.4214628807 26.1868803879
a 63.92020226 30.8321939163
a 70.2895057187 82.5336485877
a 34.1188302357 45.7345513203
a 67.6707164012 37.110947969
a 53.2591294055 97.4757710964
a 63.5149808671 25.1000785788
a 67.9805388133 80.9571652197
a 67.3724659005 29.720400203
a 15.5607495229 80.0656402858
a 71.7907676942 71.0654666627
a 70.2425464362 24.1095975542
a 64.9374355444 81.5542049945
a 62.2135245453 21.4758389969
a 67.2694004772 18.7089683725
a 40.5701970446 79.3729634752
a 74.7411813341 21.1016372041
a 71.7683189223 20.0110618423
a 76.1669198143 75.9361704048
a 65.6236574431 15.5828033531
a 50.8506336394 13.9876016304
a 33.0240700249 24.4678303872
a 39.7063261674 84.2752871038
a 45.5964849542 9.76334884943
a 42.9680469104 17.9454583961
a 52.4944067819 16.0511142003
a 46.0822757831 23.1104578154
a 74.2477082092 20.314187812
a 64.5682641863 83.6396338956
a 74.0216939058 76.1282745076
a 62.3911805626 5.62307076073
a 74.189036683 68.1335832223
a 28.2367819396 56.1395964513
a 75.7719387944 69.8292300322
a 75.8552294691 62.5170442862
a 65.9708570175 72.7448559954
a 21.7780404779 6.61662530728
a 67.7597962473 72.4212015285
a 78.6171953363 52.5752573142
a 68.5077081898 15.4569189652
a 74.8850211598 25.4166063231
a 66.4549036599 19.8366286542
a 77.3178020985 48.3983464352
a 58.9124603193 75.6677562173
a 57.617447817 8.19480060319
a 76.0882257967 59.6799300235
a 57.4660505497 1.50441817488
a 79.4283834934 45.2107942872
a 76.3565221496 10.4182411281
a 64.4050752632 78.5841760758
a 40.6350418091 73.3947503698
a 43.9498645857 75.9587156671
a 30.9962205791 71.694404938
a 68.2307689907 80.8725016628
a 72.0463894612 12.9180067349
a 46.5927679682 84.9723827774
a 49.2572183396 81.8814032306
a 42.7817612539 12.9911884302
a 65.475952195 14.2745856444
a 71.9650826544 17.7102359443
a 32.1464623358 43.4817094425
a 31.8384976954 71.8121653901
a 31.0052582572 40.682503007
a 80.4708943189 49.5021483467
a 71.9641671122 41.8742826668
a 78.0794214417 93.1333167652
a 41.6775957748 30.2012640846
a 65.953595185 31.1474060835
a 62.9344593731 31.9163906992
a 64.3737979844 28.8625834061
a 72.5093283599 39.5401302526
a 30.0522898741 96.6175423534
